 -6.917, -5.929, -4.916, -3.928, -2.908, -1.866, -0.914, 0.119, 1.107, 2.111, 2.788, 2.149, 3.688, 3.512, 3.368, 5.148, 3.433, 3.937, 3.921, 3.135, 5.122, 2.756, 3.055, 2.854, 1.304, 0.201, -0.831, -1.827, -2.865, -3.831, -4.838, -5.848,
 -9.152, -8.168, -7.155, -6.164, -5.151, -4.189, -3.161, -2.150, -1.022, -0.213, 0.166, 0.772, 0.826, 0.699, 0.710, -0.028, 0.350, 0.494, 0.674, 0.370, 0.390, 0.855, 1.021, 0.898, 0.555, 0.083, -0.569, -1.092, -2.149, -3.097, -4.167, -5.142,
 -7.466, -6.466, -5.415, -4.422, -3.453, -2.436, -1.441, -0.417, 0.854, 0.975, -0.543, 0.052, -0.884, 0.459, 1.144, 0.398, 1.003, 0.623, 0.443, 0.969, 0.646, 3.145, 0.130, 0.265, 1.391, 0.607, 0.572, 0.231, -0.415, -1.393, -2.389, -3.357,
 -5.653, -4.691, -3.697, -2.699, -1.685, -0.653, 0.661, 1.684, 1.314, 1.559, 1.610, 2.700, 2.010, 1.844, 1.851, 2.610, 2.207, 2.400, 2.525, 1.785, 2.800, 2.066, 1.763, 3.396, 1.000, 2.414, 2.210, 1.259, 1.150, 0.375, -0.660, -1.580,
 -4.958, -3.980, -2.951, -1.934, -0.904, 0.104, 0.993, 0.179, 0.081, 1.639, 0.321, 0.845, 0.148, 0.611, 0.642, 0.069, 1.281, 0.759, 0.584, 0.733, 0.490, 0.839, 0.444, 0.697, 0.186, -0.961, 0.005, 0.104, -0.107, -0.653, -1.865, -2.894,
 -2.211, -1.237, -0.250, 0.773, 1.779, 2.521, 1.410, 0.767, 2.105, 0.976, 1.945, 1.248, 1.699, 1.541, 1.602, 1.689, 1.979, 1.581, 2.183, 1.729, 1.853, 1.386, 2.265, 1.603, 1.382, 1.869, 0.459, 0.743, 0.914, 0.693, 0.789, -0.144,
 -2.503, -1.452, -0.483, 0.527, 1.409, 0.713, 0.754, 1.575, 0.614, 1.255, 0.935, 1.120, 1.082, 0.921, 1.100, 1.276, 1.510, 1.350, 1.723, 1.677, 1.709, 1.955, 1.476, 1.668, 1.725, 0.987, 1.774, 0.748, 1.524, 0.992, 0.267, -0.394,
 -3.729, -2.735, -1.695, -0.663, 0.687, 1.037, 1.378, -0.015, 1.170, 1.044, 0.583, 1.568, 0.885, 0.944, 0.958, 0.650, 1.215, 0.960, 0.904, 1.609, 1.451, 1.559, 1.523, 1.564, 1.392, 1.563, 0.991, 1.146, 0.323, 1.235, 0.935, 0.364,
 -1.046, -0.027, 1.015, 1.569, 1.927, 2.193, 1.495, 2.142, 1.906, 1.385, 2.264, 0.986, 1.473, 1.455, 1.282, 1.885, 1.235, 1.633, 1.807, 1.633, 2.817, 1.871, 2.595, 1.897, 1.909, 2.313, 1.697, 1.539, 1.905, 0.832, 2.165, 0.798,
 -2.277, -1.282, -0.243, 0.494, 0.893, 0.449, 0.335, 0.860, -0.192, 0.989, 0.716, 0.540, 0.305, 0.377, 0.382, 0.515, 0.331, 0.934, 1.277, 1.021, 1.451, 1.419, 1.206, 1.222, 1.031, 1.237, 1.078, 1.533, 1.450, 0.507, 0.769, 1.043,
 -1.562, -0.516, 0.525, 1.504, 0.669, 1.079, 0.843, -0.263, 0.762, 0.961, 0.265, 0.818, 0.172, 0.585, 0.565, 0.221, 0.735, 0.801, 0.826, 1.642, 0.982, 1.625, 0.829, 0.447, 1.829, 1.208, 0.457, 0.842, 1.433, 1.247, 0.641, 0.231,
 -1.804, -0.789, 0.250, 1.080, 1.459, 0.852, 0.619, 1.318, 1.097, 1.335, -0.183, 0.404, 1.150, 0.391, 0.597, 0.285, 0.407, 1.208, 2.199, 2.290, 1.710, 1.342, 1.595, 1.280, 1.918, 1.824, 1.235, 0.773, 1.232, 1.068, 0.624, 1.383,
 -1.032, -0.038, 0.862, 1.206, 0.996, 0.762, 0.689, 0.689, 0.677, 0.944, 0.987, -0.496, 0.136, 0.292, -0.911, -0.881, -1.310, 0.818, 2.675, 2.611, 1.809, 1.576, 0.753, 1.227, 1.758, 1.841, 1.457, 1.142, 0.986, 0.165, 0.351, 0.638,
 -0.305, 0.650, 1.236, 1.587, 0.756, 1.367, 0.777, 0.482, 1.262, 0.824, 1.274, 1.182, 0.684, 0.645, -0.203, -0.611, -2.827, -2.184, 4.807, 2.879, 2.453, 1.914, 1.959, 1.739, 1.962, 2.279, 1.773, 2.524, 1.832, 1.384, 0.876, 0.266,
 -1.622, -0.587, 0.784, 0.551, 1.325, 0.744, -0.189, 0.124, -0.596, 0.174, 0.552, 0.521, 0.224, -0.284, -0.276, -0.461, -0.531, 0.716, 2.379, 1.527, 1.835, 1.855, 1.238, 1.382, 1.539, 1.845, 1.824, 0.636, 1.124, 0.521, 0.665, 1.254,
 -0.886, 0.139, 0.913, 1.083, 0.756, 1.006, 1.431, 0.430, -0.010, 0.152, 0.922, 0.566, -0.291, 0.613, 0.198, -0.111, -0.019, 0.432, 1.265, 2.180, 1.246, 0.854, 1.894, 0.796, 1.911, 1.923, 1.062, 1.054, 1.060, 1.227, 1.027, 0.780,
 -1.109, -0.126, 1.354, 0.943, 1.310, 0.826, 0.530, 0.862, 0.858, -0.197, 0.300, 0.256, 0.554, -0.390, -0.337, -0.313, 0.003, 0.104, 0.600, 1.138, 1.016, 1.492, 0.755, 0.267, 1.050, 1.142, 0.329, 0.740, 1.267, 0.038, 0.042, -0.064,
 -2.369, -1.370, -0.311, 0.428, 1.025, 0.732, -0.280, 0.261, 0.539, 0.377, -0.022, -0.373, -0.260, -0.400, -0.524, 0.065, -0.168, 0.205, 0.605, -0.014, 0.955, 0.724, 0.892, 0.694, 0.253, 0.556, 0.906, 1.102, 0.822, -0.168, 0.585, 0.753,
 -1.589, -0.592, 0.441, 0.904, 0.608, 1.382, 0.946, 0.369, 0.419, 0.299, -0.434, 0.552, -0.471, -0.434, -0.415, -0.280, 0.172, -0.187, 0.144, 0.456, 0.725, 0.828, 0.787, 0.249, 0.794, 0.378, 0.242, 0.532, 0.174, 0.655, 0.650, 0.089,
 -1.930, -0.888, 0.143, 0.798, 1.675, 1.015, 1.249, 1.317, 0.307, 0.201, 0.265, -0.078, -0.366, -0.302, -0.342, -0.352, -0.224, -0.313, 0.121, 0.066, 0.117, -0.195, 0.051, 0.455, 0.323, 0.170, 0.301, -0.111, 0.234, 0.484, -1.039, 0.664,
 -1.152, -0.173, 0.838, 2.030, 1.284, 2.103, 1.708, 1.409, 1.803, 0.778, 0.650, -0.011, 1.005, -0.316, 0.410, 0.522, 0.403, 0.344, 0.294, 0.463, 0.688, 0.376, 0.440, 0.481, 1.297, 0.734, 1.181, 0.862, 1.281, 0.450, 0.756, 1.632,
 -1.427, -0.403, 0.582, 1.359, 1.008, 1.162, 1.350, 0.595, 1.049, 0.810, 0.317, -0.300, -0.589, -0.163, -0.206, -0.409, -0.141, -0.263, -0.035, -0.062, 0.086, -0.105, 0.512, 0.388, 0.487, 1.018, 0.535, 1.031, 0.467, 0.508, 1.204, 0.674,
 -1.679, -0.682, 0.344, 1.328, 2.014, 0.841, 0.684, 1.663, 1.302, 1.079, 3.828, 0.436, 1.193, 0.539, 0.417, 0.604, 0.275, 1.037, 0.744, 0.310, 1.249, 0.577, 0.680, 1.088, 0.237, 1.350, 1.109, 1.329, 1.844, 0.949, 1.945, 1.365,
 -2.924, -1.940, -0.907, 0.108, 1.100, 1.685, 1.367, 1.038, 1.731, 1.293, 1.242, 3.418, 1.015, 0.876, 0.781, 0.978, 1.479, 1.127, 1.050, 1.048, 0.943, 1.360, 1.293, -2.558, 1.372, 1.578, 1.818, 1.682, 1.663, 2.441, 1.196, 0.133,
 -3.225, -2.217, -1.207, -0.174, 0.820, 1.448, 0.986, -0.200, 0.538, 1.197, -0.481, 0.825, -0.134, 1.101, -1.083, -0.348, 0.542, -0.013, 0.123, 0.432, 0.685, 1.989, -0.108, 0.262, 0.317, -0.259, 0.317, -0.099, 0.291, 1.719, 0.819, -0.153,
 -4.453, -3.453, -2.412, -1.396, -0.404, 0.582, 1.455, 1.759, 0.643, 1.040, 1.823, 0.797, 1.547, 2.030, 1.183, 1.975, 1.063, 1.675, 1.873, 0.992, 1.508, 1.387, 1.079, 2.047, 0.929, 1.433, 1.163, 1.419, 3.123, 2.588, 1.604, 0.592,
 -6.726, -5.751, -4.713, -3.686, -2.704, -1.687, -0.666, 0.322, 1.467, 0.671, 0.764, 0.881, 1.105, 1.364, 1.056, 0.731, 0.638, 0.903, 0.660, 0.956, 1.193, 1.317, 1.278, 0.548, 0.917, 1.495, 1.438, 2.595, 1.294, 0.310, -0.702, -1.672,
 -6.990, -5.979, -4.952, -3.973, -2.931, -1.972, -0.956, 0.062, 1.029, 1.634, 0.500, 0.681, 0.590, 0.165, 0.331, 1.096, 1.522, 1.110, 1.138, 0.449, 0.602, 0.185, -0.040, 0.508, 0.962, 0.662, 0.086, -0.948, -1.964, -2.897, -3.915, -4.945,
 -12.219, -11.247, -10.267, -9.274, -8.269, -7.240, -6.216, -5.214, -4.230, -3.239, -2.229, -1.302, -0.259, 0.797, 0.698, 0.672, -0.011, 0.054, 0.422, 0.422, 0.792, 0.353, 0.866, 1.749, 0.691, -0.263, -1.249, -2.228, -3.209, -4.214, -5.223, -6.214,
 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,
 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,
 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,
